"EA-Type";"EA-Package";"EA-Name";"EA-Parent";"EA-Domain";"EA-Range";"label-nl";"ap-definition-nl";"ap-usageNote-nl";"ap-codelist";"external term";"namespace";"localname";"type";"domain";"range";"parent";"min card";"max card"
"attribute";"OSLO-Generiek";"fax";;"ContactInfo";;"TODO";"TODO";;;"true";"https://schema.org/";"faxNumber";"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property";"https://schema.org/ContactPoint";;;1;1
"attribute";"OSLO-Generiek";"mobielNummer";;"ContactInfo";;"TODO";"TODO";;;"true";"http://fixme.com#";"mobielNummer";"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property";"https://schema.org/ContactPoint";;;1;1
"attribute";"OSLO-Generiek";"openingsuren";;"ContactInfo";;"TODO";"TODO";;;"true";"https://schema.org/";"hoursAvailable";"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property";"https://schema.org/ContactPoint";;;1;1
"attribute";"OSLO-Generiek";"roepnaam";;"ContactInfo";;"TODO";"TODO";;;"true";"http://fixme.com#";"roepnaam";"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property";"https://schema.org/ContactPoint";;;1;1
"attribute";"OSLO-Generiek";"social";;"ContactInfo";;"TODO";"TODO";;;"true";"http://fixme.com#";"social";"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property";"https://schema.org/ContactPoint";;;1;1
"attribute";"OSLO-Generiek";"telefoon";;"ContactInfo";;"TODO";"TODO";;;"true";"https://schema.org/";"telephone";"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property";"https://schema.org/ContactPoint";;;1;1
"attribute";"OSLO-Generiek";"website";;"ContactInfo";;"TODO";"TODO";;;"true";"http://fixme.com#";"website";"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property";"https://schema.org/ContactPoint";;;1;1
"attribute";"OSLO-Generiek";"beschrijving";;"FormeelKader";;"TODO";"TODO";;;"true";"http://purl.org/dc/terms/";"description";"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property";"http://purl.org/vocab/cpsv#FormalFramework";;;0;1
"attribute";"OSLO-Generiek";"naam";;"FormeelKader";;"TODO";"TODO";;;"true";"http://purl.org/dc/terms/";"title";"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property";"http://purl.org/vocab/cpsv#FormalFramework";;;1;1
"attribute";"OSLO-Generiek";"onderwerp";;"FormeelKader";"Eurovoc";"TODO";"TODO";;;"true";"http://data.europa.eu/m8g/";"subject";"http://www.w3.org/2002/07/owl#ObjectProperty";"http://purl.org/vocab/cpsv#FormalFramework";"http://fixme.com#Eurovoc";;0;"*"
"attribute";"OSLO-Generiek";"status";;"FormeelKader";"ELI_status";"TODO";"TODO";;;"true";"http://www.w3.org/ns/adms#";"status";"http://www.w3.org/2002/07/owl#ObjectProperty";"http://purl.org/vocab/cpsv#FormalFramework";"http://fixme.com#ELI_status";;0;1
